path,name,type,size,parent
../README.md,README.md,file,17,..
../.gitignore,.gitignore,file,661,..
../Homework#3,Homework#3,directory,693487,..
../Homework#3/task#3.py,task#3.py,file,1122,../Homework#3
../Homework#3/task#2.py,task#2.py,file,11068,../Homework#3
../Homework#3/Readme.md,Readme.md,file,1269,../Homework#3
../Homework#3/my_text_2.txt,my_text_2.txt,file,9439,../Homework#3
../Homework#3/task#1.py,task#1.py,file,810,../Homework#3
../Homework#3/my_text.txt,my_text.txt,file,669779,../Homework#3
../Homework#4,Homework#4,directory,16781,..
../Homework#4/task2_new.py,task2_new.py,file,989,../Homework#4
../Homework#4/old_task,old_task,directory,10269,../Homework#4
../Homework#4/old_task/task3_v2.py,task3_v2.py,file,5623,../Homework#4/old_task
../Homework#4/old_task/task2.py,task2.py,file,1555,../Homework#4/old_task
../Homework#4/old_task/task3_v1.py,task3_v1.py,file,3091,../Homework#4/old_task
../Homework#4/Readme.md,Readme.md,file,0,../Homework#4
../Homework#4/task1.py,task1.py,file,706,../Homework#4
../Homework#4/task3_new.py,task3_new.py,file,4817,../Homework#4
../venv,venv,directory,85070152,..
../venv/bin,bin,directory,168058,../venv
../venv/bin/Activate.ps1,Activate.ps1,file,9033,../venv/bin
../venv/bin/python3,python3,file,50472,../venv/bin
../venv/bin/python,python,file,50472,../venv/bin
../venv/bin/pip3,pip3,file,341,../venv/bin
../venv/bin/activate.fish,activate.fish,file,2259,../venv/bin
../venv/bin/python3.11,python3.11,file,50472,../venv/bin
../venv/bin/pip,pip,file,341,../venv/bin
../venv/bin/pip3.11,pip3.11,file,341,../venv/bin
../venv/bin/pygmentize,pygmentize,file,263,../venv/bin
../venv/bin/pytask,pytask,file,256,../venv/bin
../venv/bin/task,task,file,256,../venv/bin
../venv/bin/tabulate,tabulate,file,257,../venv/bin
../venv/bin/activate,activate,file,2053,../venv/bin
../venv/bin/cmark,cmark,file,263,../venv/bin
../venv/bin/activate.csh,activate.csh,file,979,../venv/bin
../venv/include,include,directory,338724,../venv
../venv/include/python3.11,python3.11,directory,0,../venv/include
../venv/include/site,site,directory,338724,../venv/include
../venv/include/site/python3.11,python3.11,directory,338724,../venv/include/site
../venv/include/site/python3.11/pygame,pygame,directory,333969,../venv/include/site/python3.11
../venv/include/site/python3.11/pygame/mask.h,mask.h,file,153,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/pgplatform.h,pgplatform.h,file,553,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/pgarrinter.h,pgarrinter.h,file,1060,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/pgopengl.h,pgopengl.h,file,606,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/_camera.h,_camera.h,file,839,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/surface.h,surface.h,file,14584,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/_pygame.h,_pygame.h,file,11726,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/camera.h,camera.h,file,6556,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/include,include,directory,276270,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/include/pgplatform.h,pgplatform.h,file,2378,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame_freetype.h,pygame_freetype.h,file,1346,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame_mixer.h,pygame_mixer.h,file,2021,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame_mask.h,pygame_mask.h,file,1303,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/_pygame.h,_pygame.h,file,17225,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame_bufferproxy.h,pygame_bufferproxy.h,file,1834,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/bitmask.h,bitmask.h,file,4952,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/sse2neon.h,sse2neon.h,file,237885,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame.h,pygame.h,file,1245,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pgcompat.h,pgcompat.h,file,1944,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pygame_font.h,pygame_font.h,file,1501,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/include/pgimport.h,pgimport.h,file,2636,../venv/include/site/python3.11/pygame/include
../venv/include/site/python3.11/pygame/pygame.h,pygame.h,file,1083,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/pgbufferproxy.h,pgbufferproxy.h,file,179,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/_blit_info.h,_blit_info.h,file,470,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/freetype.h,freetype.h,file,3245,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/mixer.h,mixer.h,file,348,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/palette.h,palette.h,file,7057,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/pgcompat.h,pgcompat.h,file,737,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/_surface.h,_surface.h,file,957,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/font.h,font.h,file,348,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/simd_blitters.h,simd_blitters.h,file,2494,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/pygame/scrap.h,scrap.h,file,4704,../venv/include/site/python3.11/pygame
../venv/include/site/python3.11/greenlet,greenlet,directory,4755,../venv/include/site/python3.11
../venv/include/site/python3.11/greenlet/greenlet.h,greenlet.h,file,4755,../venv/include/site/python3.11/greenlet
../venv/pyvenv.cfg,pyvenv.cfg,file,346,../venv
../venv/lib,lib,directory,84563024,../venv
../venv/lib/python3.11,python3.11,directory,84563024,../venv/lib
../venv/lib/python3.11/site-packages,site-packages,directory,84563024,../venv/lib/python3.11
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info,commonmark-0.9.1.dist-info,directory,10647,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/RECORD,RECORD,file,3118,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/LICENSE,LICENSE,file,1645,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/WHEEL,WHEEL,file,110,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/entry_points.txt,entry_points.txt,file,49,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/top_level.txt,top_level.txt,file,11,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/INSTALLER,INSTALLER,file,4,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info/METADATA,METADATA,file,5710,../venv/lib/python3.11/site-packages/commonmark-0.9.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info,click_aliases-1.0.1.dist-info,directory,3422,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/RECORD,RECORD,file,653,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/LICENSE,LICENSE,file,1058,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/WHEEL,WHEEL,file,110,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/top_level.txt,top_level.txt,file,14,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/INSTALLER,INSTALLER,file,4,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info/METADATA,METADATA,file,1583,../venv/lib/python3.11/site-packages/click_aliases-1.0.1.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info,pip-23.1.2.dist-info,directory,92422,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/RECORD,RECORD,file,77053,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/WHEEL,WHEEL,file,92,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/entry_points.txt,entry_points.txt,file,125,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/top_level.txt,top_level.txt,file,4,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/LICENSE.txt,LICENSE.txt,file,1093,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/AUTHORS.txt,AUTHORS.txt,file,9953,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/REQUESTED,REQUESTED,file,0,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/INSTALLER,INSTALLER,file,4,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info/METADATA,METADATA,file,4098,../venv/lib/python3.11/site-packages/pip-23.1.2.dist-info
../venv/lib/python3.11/site-packages/tabulate.py,tabulate.py,file,73889,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info,colorama-0.4.6.dist-info,directory,20932,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/RECORD,RECORD,file,2174,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/licenses,licenses,directory,1491,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/licenses/LICENSE.txt,LICENSE.txt,file,1491,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/licenses
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/WHEEL,WHEEL,file,105,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/INSTALLER,INSTALLER,file,4,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info
../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info/METADATA,METADATA,file,17158,../venv/lib/python3.11/site-packages/colorama-0.4.6.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info,python_dateutil-2.8.2.dist-info,directory,14314,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/zip-safe,zip-safe,file,1,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/RECORD,RECORD,file,3083,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/LICENSE,LICENSE,file,2889,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/WHEEL,WHEEL,file,110,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/top_level.txt,top_level.txt,file,9,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/INSTALLER,INSTALLER,file,4,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info/METADATA,METADATA,file,8218,../venv/lib/python3.11/site-packages/python_dateutil-2.8.2.dist-info
../venv/lib/python3.11/site-packages/pygments,pygments,directory,7868359,../venv/lib/python3.11/site-packages
../venv/lib/python3.11/site-packages/pygments/filters,filters,directory,80407,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/filters/__init__.py,__init__.py,file,40338,../venv/lib/python3.11/site-packages/pygments/filters
../venv/lib/python3.11/site-packages/pygments/filters/__pycache__,__pycache__,directory,40069,../venv/lib/python3.11/site-packages/pygments/filters
../venv/lib/python3.11/site-packages/pygments/filters/__pycache__/__init__.cpython-311.pyc,__init__.cpython-311.pyc,file,40069,../venv/lib/python3.11/site-packages/pygments/filters/__pycache__
../venv/lib/python3.11/site-packages/pygments/modeline.py,modeline.py,file,986,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/console.py,console.py,file,1697,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/scanner.py,scanner.py,file,3092,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/formatter.py,formatter.py,file,4154,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/lexers,lexers,directory,6875661,../venv/lib/python3.11/site-packages/pygments
../venv/lib/python3.11/site-packages/pygments/lexers/c_like.py,c_like.py,file,29206,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/ampl.py,ampl.py,file,4177,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/agile.py,agile.py,file,876,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/graphics.py,graphics.py,file,39026,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/hdl.py,hdl.py,file,22520,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/ecl.py,ecl.py,file,6372,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/futhark.py,futhark.py,file,3732,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/ada.py,ada.py,file,5320,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_postgres_builtins.py,_postgres_builtins.py,file,13355,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/console.py,console.py,file,4148,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/mime.py,mime.py,file,7538,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_lua_builtins.py,_lua_builtins.py,file,8116,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/capnproto.py,capnproto.py,file,2175,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/nimrod.py,nimrod.py,file,6416,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/rebol.py,rebol.py,file,18248,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/objective.py,objective.py,file,22961,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/sas.py,sas.py,file,9400,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_qlik_builtins.py,_qlik_builtins.py,file,12595,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/phix.py,phix.py,file,23252,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/usd.py,usd.py,file,3513,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/crystal.py,crystal.py,file,15756,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_sourcemod_builtins.py,_sourcemod_builtins.py,file,26781,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/web.py,web.py,file,894,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/verification.py,verification.py,file,3885,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/erlang.py,erlang.py,file,19170,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/apdlexer.py,apdlexer.py,file,30766,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/slash.py,slash.py,file,8482,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/boa.py,boa.py,file,3915,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/elpi.py,elpi.py,file,6370,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/maxima.py,maxima.py,file,2716,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/chapel.py,chapel.py,file,5157,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/configs.py,configs.py,file,42338,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/clean.py,clean.py,file,6395,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/jslt.py,jslt.py,file,3701,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/ul4.py,ul4.py,file,8956,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/qvt.py,qvt.py,file,6072,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/inferno.py,inferno.py,file,3136,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/tlb.py,tlb.py,file,1377,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/nix.py,nix.py,file,4015,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/wren.py,wren.py,file,3239,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/parasail.py,parasail.py,file,2720,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/smithy.py,smithy.py,file,2660,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_css_builtins.py,_css_builtins.py,file,12446,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/graphviz.py,graphviz.py,file,1935,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/r.py,r.py,file,6185,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/pawn.py,pawn.py,file,8146,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/idl.py,idl.py,file,15450,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/iolang.py,iolang.py,file,1906,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/amdgpu.py,amdgpu.py,file,1670,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/dsls.py,dsls.py,file,36774,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/supercollider.py,supercollider.py,file,3698,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/comal.py,comal.py,file,3156,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/solidity.py,solidity.py,file,3127,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_scilab_builtins.py,_scilab_builtins.py,file,52413,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_lilypond_builtins.py,_lilypond_builtins.py,file,108094,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/lisp.py,lisp.py,file,144039,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/j.py,j.py,file,4854,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/mosel.py,mosel.py,file,9187,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_vbscript_builtins.py,_vbscript_builtins.py,file,4225,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/_openedge_builtins.py,_openedge_builtins.py,file,49398,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/smalltalk.py,smalltalk.py,file,7206,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/spice.py,spice.py,file,2733,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/monte.py,monte.py,file,6290,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/webmisc.py,webmisc.py,file,40549,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/teal.py,teal.py,file,3523,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/c_cpp.py,c_cpp.py,file,17791,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/perl.py,perl.py,file,39170,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/robotframework.py,robotframework.py,file,18449,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/textfmts.py,textfmts.py,file,15192,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/jsonnet.py,jsonnet.py,file,5635,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/cplint.py,cplint.py,file,1390,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/prolog.py,prolog.py,file,12351,../venv/lib/python3.11/site-packages/pygments/lexers
../venv/lib/python3.11/site-packages/pygments/lexers/rnc.py,rnc.py,file,1973,../venv/lib/python3.11/site-packages/pygments/lexers
